,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Time_Category
4732,Thursday,18-30,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,No distancing,Fatal injury,evening
4733,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner, Hospital areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
4734,Sunday,31-50,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury,afternoon
4735,Saturday,18-30,Male,High school,Owner,Below 1yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Rollover,1,1,Reversing,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,evening
4736,Friday,Unknown,Female,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Passenger,Female,5,3,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
4737,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Overtaking,Pedestrian,Male,31-50,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Serious Injury,afternoon
4738,Monday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,afternoon
4739,Sunday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Serious Injury,night
4740,Sunday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the right,Serious Injury,night
4741,Monday,Unknown,Female,Junior high school,Owner,Above 10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,1,1,Going straight,Pedestrian,Female,Over 51,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Turnover,Slight Injury,afternoon
4742,Friday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Double carriageway (median),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Unknown,Rollover,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
4743,Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Driving at high speed,Slight Injury,morning
4744,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Taxi,Organization,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,afternoon
4745,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,afternoon
4746,Friday,Unknown,Male,High school,Employee,2-5yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,evening
4747,Friday,Under 18,Male,High school,Owner,Above 10yr,Stationwagen,Governmental,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,evening
4748,Friday,Under 18,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Fall from vehicles,3,2,Other,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,evening
4749,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Entering a junction,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,evening
4750,Friday,Unknown,Female,High school,Employee,2-5yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
4751,Friday,Under 18,Male,Junior high school,Other,No Licence,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,evening
4752,Thursday,Under 18,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,18-30,2,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,morning
4753,Thursday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Overtaking,Slight Injury,morning
4754,Saturday,Unknown,Female,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Serious Injury,morning
4755,Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,morning
4756,Friday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
4757,Friday,Unknown,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,afternoon
4758,Wednesday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
4759,Wednesday,31-50,Male,High school,Employee,1-2yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,Pedestrian,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,morning
4760,Tuesday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Getting off,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,morning
4761,Monday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Getting off,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,morning
4762,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,morning
4763,Monday,18-30,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Pedestrian,Male,Over 51,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury,morning
4764,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,morning
4765,Monday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Waiting to go,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving at high speed,Slight Injury,morning
4766,Wednesday,Unknown,Male,Junior high school,Employee,5-10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,morning
4767,Sunday,31-50,Male,High school,Owner,2-5yr,Stationwagen,Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Cloudy,Rollover,1,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
4768,Friday,Unknown,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
4769,Monday,Unknown,Male,Junior high school,Employee,5-10yr,Taxi,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,afternoon
4770,Monday,18-30,Male,Junior high school,Employee,5-10yr,Other,Governmental,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,5,3,Not a Pedestrian,Moving Backward,Slight Injury,afternoon
4771,Friday,Under 18,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,Unknown or other,Changing lane to the left,Slight Injury,afternoon
4772,Friday,Unknown,Female,High school,Employee,Above 10yr,Automobile,Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,1,Overtaking,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,afternoon
4773,Monday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Governmental,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,night
4774,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury,morning
4775,Sunday,18-30,Male,Writing & reading,Employee,2-5yr,Lorry (41?100Q),Owner,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,night
4776,Sunday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,2,Turnover,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,night
4777,Friday,Under 18,Male,High school,Employee,2-5yr,Lorry (11?40Q),Owner,Other,other,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,3,Going straight,Pedestrian,Male,18-30,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury,night
4778,Friday,18-30,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,Male,31-50,3,Crossing from driver's nearside,No distancing,Slight Injury,night
4779,Friday,18-30,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,3,Getting off,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,night
4780,Wednesday,Unknown,Male,Elementary school,Employee,2-5yr,Stationwagen,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Moving Backward,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,evening
